Município;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ceará-Mirim (RN);137812.889;162426.57;188312.663;217499.772;278525.704;305789.681;331591.595;396583.928;431839.153;446777.848;524621.362;612684.764;636247.773;670761.978;716800.141;740652.911;791039.199;831902.274;867404.236;904768.579
Cerro Corá (RN);20632.375;24478.51;26971.887;27647.621;33675.223;39414.513;43304.215;48669.013;52863.943;59683.635;67990.004;76546.269;77647.115;92312.805;99180.725;130613.286;113232.775;115338.463;115541.359;129027.907
Coronel Ezequiel (RN);9473.782;11703.546;13482.976;16465.917;15454.536;17466.621;16903.749;22681.972;23641.474;25423.141;27115.063;32176.793;33614.787;38943.654;40021.727;41745.701;43413.33;45418.912;48452.431;50525.614
Coronel João Pessoa (RN);9414.059;10375.954;11836.775;12998.271;15105.322;17649.672;19915.259;21869.205;22448.096;24921.093;27201.903;29806.925;31752.792;34424.732;36294.676;39153.429;42782.926;41828.713;43465.71;46699.674
Cruzeta (RN);18873.885;21429.434;23212.298;25163.847;29045.032;30185.888;33934.443;37794.737;41575.291;61753.008;68136.844;66181.37;434642.565;79164.335;83104.038;91569.71;95367.592;102834.693;105197.946;111951.294
Currais Novos (RN);126268.047;127790.793;141824.389;169003.856;194031.174;231150.743;248685.208;296541.872;337600.08;406730.961;467237.082;513161.402;512435.268;560535.414;573865.451;650963.59;622493.215;671699.442;676881.087;717017.256
Doutor Severiano (RN);10390.813;11872.347;14923.741;16331.74;18534.433;19765.058;21408.17;25927.107;26332.387;31188.613;35177.9;40613.672;43614.089;45752.588;48766.221;52263.046;59494.187;66345.02;68866.369;74410.525
Parnamirim (RN);681782.495;786825.522;877597.147;1060312.117;1171173.965;1496936.285;1671172.24;1896946.196;2432376.452;2561777.421;3050863.901;3593181.601;3767536.169;4028320.779;4382887.783;4250603.484;4469964.637;4773404.557;4971935.295;5682353.071
Encanto (RN);8977.372;9683.509;11356.747;12488.877;14068.046;16397.401;18114.609;19889.516;19907.857;23423.395;25208.803;30009.74;32585.712;34950.328;38983.656;41253.502;45175.345;51719.343;53087.191;59673.456
Equador (RN);10787.336;11639.948;13052.845;15397.202;17522.817;20533.797;25017.183;27972.457;31647.704;42108.099;42291.474;42594.497;41904.534;58381.633;60596.099;61039.854;63267.231;65300.385;66172.843;76069.668
Espírito Santo (RN);16395.611;18931.82;21353.404;26063.804;27667.41;29304.118;31720.247;35172.553;38012.557;42236.489;44288.38;50239.96;53292.428;59541.68;64157.532;70003.553;77627.588;83964.144;86602.025;91986.782
